longditude;laditude;lag
1.25;-88.75;0
3.75;-88.75;0
6.25;-88.75;0
8.75;-88.75;0
11.25;-88.75;0
13.75;-88.75;0
16.25;-88.75;0
18.75;-88.75;0
21.25;-88.75;0
23.75;-88.75;0
26.25;-88.75;0
28.75;-88.75;0
31.25;-88.75;0
33.75;-88.75;0
36.25;-88.75;0
38.75;-88.75;0
41.25;-88.75;0
43.75;-88.75;0
46.25;-88.75;0
48.75;-88.75;0
51.25;-88.75;0
53.75;-88.75;0
56.25;-88.75;0
58.75;-88.75;0
61.25;-88.75;0
63.75;-88.75;0
66.25;-88.75;0
68.75;-88.75;0
71.25;-88.75;0
73.75;-88.75;0
76.25;-88.75;0
78.75;-88.75;0
81.25;-88.75;0
83.75;-88.75;0
86.25;-88.75;0
88.75;-88.75;0
91.25;-88.75;0
93.75;-88.75;0
96.25;-88.75;0
98.75;-88.75;0
101.25;-88.75;0
103.75;-88.75;0
106.25;-88.75;0
108.75;-88.75;0
111.25;-88.75;0
113.75;-88.75;0
116.25;-88.75;0
118.75;-88.75;0
121.25;-88.75;0
123.75;-88.75;0
126.25;-88.75;0
128.75;-88.75;0
131.25;-88.75;0
133.75;-88.75;0
136.25;-88.75;0
138.75;-88.75;0
141.25;-88.75;0
143.75;-88.75;0
146.25;-88.75;0
148.75;-88.75;0
151.25;-88.75;0
153.75;-88.75;0
156.25;-88.75;0
158.75;-88.75;0
161.25;-88.75;0
163.75;-88.75;0
166.25;-88.75;0
168.75;-88.75;0
171.25;-88.75;0
173.75;-88.75;0
176.25;-88.75;0
178.75;-88.75;0
181.25;-88.75;0
183.75;-88.75;0
186.25;-88.75;0
188.75;-88.75;0
191.25;-88.75;0
193.75;-88.75;0
196.25;-88.75;0
198.75;-88.75;0
201.25;-88.75;0
203.75;-88.75;0
206.25;-88.75;0
208.75;-88.75;0
211.25;-88.75;0
213.75;-88.75;0
216.25;-88.75;0
218.75;-88.75;0
221.25;-88.75;0
223.75;-88.75;0
226.25;-88.75;0
228.75;-88.75;0
231.25;-88.75;0
233.75;-88.75;0
236.25;-88.75;0
238.75;-88.75;0
241.25;-88.75;0
243.75;-88.75;0
246.25;-88.75;0
248.75;-88.75;0
251.25;-88.75;0
253.75;-88.75;0
256.25;-88.75;0
258.75;-88.75;0
261.25;-88.75;0
263.75;-88.75;0
266.25;-88.75;0
268.75;-88.75;0
271.25;-88.75;0
273.75;-88.75;0
276.25;-88.75;0
278.75;-88.75;0
281.25;-88.75;0
283.75;-88.75;0
286.25;-88.75;0
288.75;-88.75;0
291.25;-88.75;0
293.75;-88.75;0
296.25;-88.75;0
298.75;-88.75;0
301.25;-88.75;0
303.75;-88.75;0
306.25;-88.75;0
308.75;-88.75;0
311.25;-88.75;0
313.75;-88.75;0
316.25;-88.75;0
318.75;-88.75;0
321.25;-88.75;0
323.75;-88.75;0
326.25;-88.75;0
328.75;-88.75;0
331.25;-88.75;0
333.75;-88.75;0
336.25;-88.75;0
338.75;-88.75;0
341.25;-88.75;0
343.75;-88.75;0
346.25;-88.75;0
348.75;-88.75;0
351.25;-88.75;0
353.75;-88.75;0
356.25;-88.75;0
358.75;-88.75;0
1.25;-86.25;0
3.75;-86.25;0
6.25;-86.25;0
8.75;-86.25;0
11.25;-86.25;0
13.75;-86.25;0
16.25;-86.25;0
18.75;-86.25;0
21.25;-86.25;0
23.75;-86.25;0
26.25;-86.25;0
28.75;-86.25;0
31.25;-86.25;0
33.75;-86.25;0
36.25;-86.25;0
38.75;-86.25;0
41.25;-86.25;0
43.75;-86.25;0
46.25;-86.25;0
48.75;-86.25;0
51.25;-86.25;12
53.75;-86.25;0
56.25;-86.25;12
58.75;-86.25;12
61.25;-86.25;12
63.75;-86.25;12
66.25;-86.25;0
68.75;-86.25;0
71.25;-86.25;12
73.75;-86.25;0
76.25;-86.25;12
78.75;-86.25;12
81.25;-86.25;0
83.75;-86.25;0
86.25;-86.25;0
88.75;-86.25;0
91.25;-86.25;0
93.75;-86.25;0
96.25;-86.25;0
98.75;-86.25;0
101.25;-86.25;12
103.75;-86.25;12
106.25;-86.25;12
108.75;-86.25;12
111.25;-86.25;12
113.75;-86.25;12
116.25;-86.25;12
118.75;-86.25;12
121.25;-86.25;0
123.75;-86.25;0
126.25;-86.25;0
128.75;-86.25;0
131.25;-86.25;0
133.75;-86.25;0
136.25;-86.25;0
138.75;-86.25;0
141.25;-86.25;0
143.75;-86.25;0
146.25;-86.25;0
148.75;-86.25;0
151.25;-86.25;0
153.75;-86.25;0
156.25;-86.25;0
158.75;-86.25;0
161.25;-86.25;0
163.75;-86.25;0
166.25;-86.25;0
168.75;-86.25;0
171.25;-86.25;0
173.75;-86.25;0
176.25;-86.25;0
178.75;-86.25;0
181.25;-86.25;0
183.75;-86.25;0
186.25;-86.25;0
188.75;-86.25;0
191.25;-86.25;0
193.75;-86.25;11
196.25;-86.25;10
198.75;-86.25;11
201.25;-86.25;0
203.75;-86.25;10
206.25;-86.25;0
208.75;-86.25;10
211.25;-86.25;0
213.75;-86.25;10
216.25;-86.25;0
218.75;-86.25;0
221.25;-86.25;10
223.75;-86.25;0
226.25;-86.25;10
228.75;-86.25;0
231.25;-86.25;0
233.75;-86.25;0
236.25;-86.25;0
238.75;-86.25;0
241.25;-86.25;0
243.75;-86.25;0
246.25;-86.25;0
248.75;-86.25;0
251.25;-86.25;0
253.75;-86.25;0
256.25;-86.25;0
258.75;-86.25;0
261.25;-86.25;0
263.75;-86.25;0
266.25;-86.25;0
268.75;-86.25;0
271.25;-86.25;0
273.75;-86.25;0
276.25;-86.25;0
278.75;-86.25;0
281.25;-86.25;0
283.75;-86.25;0
286.25;-86.25;0
288.75;-86.25;0
291.25;-86.25;0
293.75;-86.25;0
296.25;-86.25;0
298.75;-86.25;0
301.25;-86.25;0
303.75;-86.25;0
306.25;-86.25;0
308.75;-86.25;0
311.25;-86.25;0
313.75;-86.25;0
316.25;-86.25;0
318.75;-86.25;0
321.25;-86.25;0
323.75;-86.25;0
326.25;-86.25;0
328.75;-86.25;0
331.25;-86.25;0
333.75;-86.25;0
